,Planet Name,Planet Mass,Planet Radius,Distance from Earth,Star Name,Equilibrium Temperature,Stellar Temperature,Stellar Radius,Distance from Host Star,Number of Planets in System,Habitability
0,Kepler-10 b,4.60853,1.481,185.506,Kepler-10,1980.0,5676.0,1.044,0.0172,0,2
1,Kepler-10 c,7.37,2.323,185.506,Kepler-10,524.0,5676.0,1.044,0.241,0,2
2,Kepler-100 b,7.34,1.32,304.645,Kepler-100,1155.0,5788.0,1.474,0.072,0,3
3,Kepler-100 c,7.05,2.2,304.645,Kepler-100,939.0,5788.0,1.474,0.109,0,3
4,Kepler-100 d,3.0,1.61,304.645,Kepler-100,670.0,5788.0,1.474,0.2143,0,3
5,Kepler-1000 b,20.3,4.76,1115.62,Kepler-1000,473.0,6469.0,1.467,0.5337,0,1
6,Kepler-1001 b,10.1,3.15,928.978,Kepler-1001,693.0,5741.0,0.846,0.1129,0,2
7,Kepler-1001 c,3.11,1.578,928.978,Kepler-1001,804.0,5741.0,0.846,0.084,0,2
8,Kepler-1002 b,3.57,1.71,408.303,Kepler-1002,1453.0,6180.0,1.603,0.0564,0,1
9,Kepler-1003 b,3.82,1.78,941.902,Kepler-1003,1157.0,6068.0,0.831,0.0444,0,1
10,Kepler-1004 b,32.5,6.28,1152.68,Kepler-1004,1661.0,4994.0,3.818,0.0671,0,1
11,Kepler-1005 b,2.86,1.5,567.806,Kepler-1005,1026.0,5727.0,1.104,0.0669,0,1
12,Kepler-1006 b,2.99,1.54,1081.738,Kepler-1006,791.0,6327.0,1.175,0.1464,0,1
13,Kepler-1007 b,2.67,1.44,365.0,Kepler-1007,652.0,4325.0,0.56,0.048,0,1
14,Kepler-1008 b,2.18,1.28,282.565,Kepler-1008,627.0,4987.0,0.773,0.0951,0,1
15,Kepler-1009 b,5.35,2.17,355.019,Kepler-1009,403.0,3597.0,0.514,0.0796,0,1
16,Kepler-101 b,51.1,5.77,927.981,Kepler-101,1445.0,5576.0,1.593,0.0474,0,2
17,Kepler-101 c,3.78,1.25,927.981,Kepler-101,1204.0,5576.0,1.593,0.0684,0,2
18,Kepler-1010 b,5.99,2.32,579.273,Kepler-1010,477.0,5083.0,0.872,0.193,0,1
19,Kepler-1011 b,8.6,2.87,736.779,Kepler-1011,920.0,5445.0,0.929,0.0633,0,1
20,Kepler-1012 b,2.21,1.29,411.077,Kepler-1012,934.0,5448.0,0.883,0.0585,0,1
21,Kepler-1013 b,5.27,2.15,422.246,Kepler-1013,766.0,5015.0,1.643,0.137,0,1
22,Kepler-1014 b,6.3,2.39,624.8,Kepler-1014,614.0,5483.0,0.779,0.121,0,1
23,Kepler-1015 b,12.3,3.55,739.357,Kepler-1015,1040.0,6384.0,1.904,0.1396,0,1
